1,V,Bs,n,Pdyn,Dst_star,V^2,Bs^2,n^2,V*Bs,n*V,n*Bs,Pdyn*Bs,n*V*Bs,sin(θ_c/2),sin²(θ_c/2),sin⁴(θ_c/2),sin^(8/3)(θ_c/2),V*sin²(θ_c/2),Newell_d_Φ
0.0,0.0,-0.7363960062758137,0.0,-0.8823404978289112,-0.05316091470404024,0.0,0.0,0.0,0.0,0.0005393313526875663,0.06459524414626254,0.09497334801563313,-0.00025276245244150474,6.836763637340531,-39.53861408044125,-10.094474676359685,43.63581970399888,0.0,0.0
0.0,0.0,-0.7374609132499063,0.0,-0.8971615008969046,-0.05227170278428893,0.0,0.0,0.0,0.0,0.0005462718418594448,0.05837814104861028,0.0829080692999593,-0.00022954608837241406,6.87315419531994,-38.04116793230012,-8.86203622601087,40.98733186247126,0.0,0.0
0.0,0.0,-0.7454266846761022,-0.10162121750925525,-1.1731127670315211,-0.05326470490727714,0.0,0.0,0.0,0.0,0.0009863998739729565,0.0539736839902718,0.0694301415019082,-0.00020938978183698248,6.747065347223053,-38.731070310340925,-9.765074839008074,42.650246908581,0.0,0.0
0.0,0.0,-0.7381060334714723,0.0,-0.9015921958171413,-0.05299356974525491,0.0,0.0,0.0,0.0,0.0005551212297306967,0.04739614435141583,0.06640161799850075,-0.00019261839519179742,6.307601857169415,-36.13465791810883,-8.663918902389396,39.39191256310029,0.0,0.0
0.0,0.0,-0.7282221996738054,0.0,-0.9164105584941176,-0.05305444089130451,0.0,0.0,0.0,0.0,0.000562588246427912,0.06205195221260637,0.09676722215285574,-0.0002510710763733192,6.634130081929396,-37.0646942115131,-8.561357868368253,39.928454613663455,0.0,0.0
0.0,0.0,-0.7428815866193439,0.0,-0.9017380751332095,-0.05264066384411549,0.0,0.0,0.0,0.0,0.0005423939877491901,0.06764610959810902,0.11006810941297313,-0.0002716420290102009,6.997606001336877,-38.84948295934128,-9.099218132398766,41.930860398475474,0.0,0.0
0.0,0.0,-0.7238430232330065,0.0,-0.8720563162883117,-0.05159937192888324,0.0,0.0,0.0,0.0,0.0005298297075624437,0.06134280380502794,0.09117845266782001,-0.0002434964013721576,6.621071339316697,-36.92708422428125,-8.868854233889412,40.06420263818573,0.0,0.0
0.0,0.0,-0.7254501411183569,0.0,-0.8943519324288803,-0.05202693158393829,0.0,0.0,0.0,0.0,0.0005321994118447698,0.06449095409940513,0.10144775314081869,-0.00025766592915658573,7.636058070145829,-41.885075586429075,-10.091322425639435,45.28766812907464,0.0,0.0
0.0,0.0,-0.7316609069632846,0.0,-0.8641659475017328,-0.05282377523141094,0.0,0.0,0.0,0.0,0.0005273703259484269,0.05546802347926232,0.07687054323304936,-0.00021831801995990266,6.4880705482967045,-35.97412394913841,-8.150409914705866,38.51235019720749,0.0,0.0
0.0,0.0,-0.7322809754229554,0.0,-0.9160414290278605,-0.05259042945295948,0.0,0.0,0.0,0.0,0.0005600247699556639,0.05711936107052626,0.08436321932842955,-0.00022808120418644514,6.336011886029361,-35.38348701679015,-8.205161392555155,38.18742467031605,0.0,0.0
0.0,0.0,-0.7303345188220031,0.0,-0.9037487951003169,-0.052404385407873025,0.0,0.0,0.0,0.0,0.0005613531120327973,0.060721445343754725,0.09202951603473865,-0.00024206595539473424,6.076407806756448,-34.259665553486506,-7.884962712887347,36.954953526488396,0.0,0.0
0.0,0.0,-0.7253406235268148,0.0,-0.8886981074382044,-0.05346408148145368,0.0,0.0,0.0,0.0,0.0005404564135272689,0.045019614601756595,0.05107797378542305,-0.00017622568269121632,7.080240176936171,-41.0177206034265,-10.6305638611547,45.413072955627925,0.0,0.0
0.0,0.0,-0.7562477073555046,0.0,-0.9499990269807769,-0.05278146158827471,0.0,0.0,0.0,0.0,0.0005846264956265433,0.05395221850989005,0.08408147090287078,-0.00021990569725132016,7.081977013122894,-39.742991347117126,-9.473737607876574,43.13972641250595,0.0,0.0
0.0,0.0,-0.7243384086762904,0.0,-0.9172312668431774,-0.052655169972285344,0.0,0.0,0.0,0.0,0.0005502568055130176,0.06014725194248905,0.09347806348816191,-0.000244267193372961,6.999146197867915,-38.47421654595684,-8.977656434860814,41.41870601735619,0.0,0.0
0.0,0.0,-0.7451377526076073,0.0,-0.9446566159949731,-0.0534345751139885,0.0,0.0,0.0,0.0,0.0005765113999026261,0.057041109065342065,0.08540015289445602,-0.00022829949333599237,7.0026379871520374,-38.70319596077735,-8.852515607686994,41.53381418183815,0.0,0.0
0.0,0.0,-0.7422462850330627,0.0,-0.9138660520887014,-0.05316640611537804,0.0,0.0,0.0,0.0,0.0005587466253812218,0.053022772664092756,0.07449430820811549,-0.00020990792705957476,6.744674582771005,-37.8134844859891,-8.866890697440184,40.86923332580403,0.0,0.0
0.0,0.0,-0.7232943082789903,0.0,-0.8737006816992301,-0.05233839149552667,0.0,0.0,0.0,0.0,0.0005263249913906402,0.05901087836519297,0.08818756701797532,-0.00023548856940270636,6.971783876337414,-39.045043908120135,-9.595387161216305,42.54563747017403,0.0,0.0
0.0,0.0,-0.7352841027226322,0.0,-0.9326889973811611,-0.05368634182262835,0.0,0.0,0.0,0.0,0.000578213787643397,0.05207415933224204,0.07406787280563559,-0.0002100078502473153,6.210369029543275,-35.116779271468104,-8.122399254036171,37.91322514409413,0.0,0.0
0.0,0.0,-0.7294555818402331,0.0,-0.9100215778304497,-0.05360115051905106,0.0,0.0,0.0,0.0,0.0005537586851398023,0.06436185402165658,0.09938549213809306,-0.00025757749506355286,6.756350363318045,-37.7051470562761,-8.509152698973713,40.383799226459296,0.0,0.0
0.0,0.0,-0.7248806776172089,0.0,-0.9132163198794903,-0.053880156671072814,0.0,0.0,0.0,0.0,0.0005548900186961941,0.06817645317691373,0.10039553697892921,-0.00026711621745428155,6.900967440792964,-39.29600270934722,-9.879319953870729,43.10872063877189,0.0,0.0
0.0,0.0,-0.734756035774709,0.0,-0.8828964686989774,-0.052404287790608614,0.0,0.0,0.0,0.0,0.0005372660437009141,0.06190285074933988,0.09621842414306186,-0.0002485265340268219,6.253594805488326,-34.89773087601067,-7.932806041071576,37.53158611161435,0.0,0.0
0.0,0.0,-0.7426940497289265,0.0,-0.8896151773028635,-0.052981758445427,0.0,0.0,0.0,0.0,0.0005357520782910297,0.0518758474302668,0.07017303897506967,-0.0002034713634692175,6.392390695397693,-34.99218396564922,-7.670448754738365,37.24456866132161,0.0,0.0
0.0,0.0,-0.7282563067011789,0.0,-0.8953520456765891,-0.05162448744245601,0.0,0.0,0.0,0.0,0.0005382344388161814,0.06027202128465333,0.09131018013948836,-0.00023981865834151486,7.267975520515476,-39.555086304842355,-9.337955739567887,42.55588685562517,0.0,0.0
0.0,0.0,-0.7212879379479232,0.0,-0.8837733164855088,-0.052340041847969414,0.0,0.0,0.0,0.0,0.0005355813640281744,0.06760932982440854,0.09793736959751988,-0.00026407582491478726,6.983380032699728,-39.222689604043545,-9.669478848870872,42.77111247550094,0.0,0.0
0.0,0.0,-0.716016132277016,0.0,-0.9183507724721004,-0.05273094507504663,0.0,0.0,0.0,0.0,0.0005634525808805035,0.058436346226755226,0.09138484563749356,-0.00023818053575765864,7.206931066735834,-41.104946785171684,-10.536685377636902,45.266481446120636,0.0,0.0
0.0,0.0,-0.7316281985097776,0.0,-0.855647299300035,-0.052133872041226395,0.0,0.0,0.0,0.0,0.0005159296781754644,0.06928097320569697,0.11154991877825521,-0.00027921214147192807,7.702389359167535,-43.72518766933628,-11.092748150717195,48.06354365641623,0.0,0.0
0.0,0.0,-0.7377085405589021,0.0,-0.9104925861314994,-0.05159090439169656,0.0,0.0,0.0,0.0,0.0005476229762780883,0.06311487485659496,0.096720129741707,-0.0002514247341279639,7.786635085470673,-42.739635461464,-10.390780603491363,46.33222741953525,0.0,0.0
0.0,0.0,-0.7269539837227579,0.0,-0.9042185456259018,-0.05238916775607773,0.0,0.0,0.0,0.0,0.0005452500320720404,0.0709058863576199,0.11581043624234146,-0.0002853133734060049,7.1566211307283805,-39.79261787169026,-9.668864093788827,43.21864597515739,0.0,0.0
0.0,0.0,-0.7259371054580748,0.0,-0.9165203741931279,-0.05231227792097981,0.0,0.0,0.0,0.0,0.0005612527081016621,0.06176302686192387,0.09818671677496478,-0.0002519608450721998,7.361961727392224,-41.42578659987237,-10.20940625734949,45.19924531498278,0.0,0.0
0.0,0.0,-0.7486212464626972,0.0,-0.8748697452669536,-0.05271859171872456,0.0,0.0,0.0,0.0,0.0005307001777007643,0.061281189664556854,0.09389366286389639,-0.0002439671577218906,6.2953485970091005,-35.88952069519051,-8.581307538994208,39.127163933813975,0.0,0.0
0.0,0.0,-0.7252065507558862,0.0,-0.8649727054583174,-0.051774059349520944,0.0,0.0,0.0,0.0,0.000517952406722039,0.024698969829290904,0.0,-8.947294232540598e-5,7.150066987408924,-39.70714099617854,-9.652275096565704,43.118662771673705,0.0,0.0
0.0,0.0,-0.733208770617636,-0.103381495295562,-1.154290868033713,-0.05208454979540565,0.0,0.0,0.0,0.0,0.000980120495578283,0.0622790180855573,0.09860617819473042,-0.0002506089132859301,6.851809240403894,-38.27608173934133,-9.148961984375497,41.504037458794485,0.0,0.0
0.0,0.0,-0.7178866323602374,0.0,-0.8851686437191133,-0.052353204457700385,0.0,0.0,0.0,0.0,0.0005351401647575658,0.06713731545221574,0.10399430541231082,-0.0002672613702164088,6.602250682408552,-36.40564164698127,-8.421895890824217,39.13162158155143,0.0,0.0
0.0,0.0,-0.7207077155384046,0.0,-0.873681189787952,-0.05206020701383419,0.0,0.0,0.0,0.0,0.0005232483491378517,0.06210265535298402,0.09597468371244784,-0.00024893805589135543,6.652526829588846,-36.705780946056436,-8.788747539078159,39.71777659839666,0.0,0.0
0.0,0.0,-0.7404515499753882,-0.10695768662648593,-1.2352903293534094,-0.05309506835357473,0.0,0.0,0.0,0.0,0.0010341542138951542,0.05685268087024401,0.09502001277246082,-0.00023192904114028643,7.198874598581189,-39.85748771891168,-9.709111055618997,43.27465858596689,0.0,0.0
