split,storm_id,target,model,rmse_nt,mae_nt,correlation,pe,n_points,min_dst_star_observed_nt,anchor_catalog_idx,scored_catalog_indices,original_target_only
val,494,Dst_star,Burton,9.749954791281946,7.989979539752485,0.8968216754780549,0.8015107683893959,110,-75.4267089919596,414901,414902;414903;414904;414905;414906;414907;414908;414909;414910;414911;414912;414913;414914;414915;414916;414917;414918;414919;414920;414921;414922;414923;414924;414925;414926;414927;414928;414929;414930;414931;414932;414933;414934;414935;414936;414937;414938;414939;414940;414941;414942;414943;414944;414945;414946;414947;414948;414949;414950;414951;414952;414953;414954;414955;414956;414957;414958;414959;414960;414961;414962;414963;414964;414965;414966;414967;414968;414969;414970;414971;414972;414973;414974;414975;414976;414977;414978;414979;414980;414981;414982;414983;414984;414985;414986;414987;414988;414989;414990;414991;414992;414993;414994;414995;414996;414997;414998;414999;415000;415001;415002;415003;415004;415005;415006;415007;415008;415009;415010;415011,true
val,494,Dst_star,BurtonFull,15.293259542472295,13.543584542079737,0.878032826171635,0.5116492437268483,110,-75.4267089919596,414901,414902;414903;414904;414905;414906;414907;414908;414909;414910;414911;414912;414913;414914;414915;414916;414917;414918;414919;414920;414921;414922;414923;414924;414925;414926;414927;414928;414929;414930;414931;414932;414933;414934;414935;414936;414937;414938;414939;414940;414941;414942;414943;414944;414945;414946;414947;414948;414949;414950;414951;414952;414953;414954;414955;414956;414957;414958;414959;414960;414961;414962;414963;414964;414965;414966;414967;414968;414969;414970;414971;414972;414973;414974;414975;414976;414977;414978;414979;414980;414981;414982;414983;414984;414985;414986;414987;414988;414989;414990;414991;414992;414993;414994;414995;414996;414997;414998;414999;415000;415001;415002;415003;415004;415005;415006;415007;415008;415009;415010;415011,true
val,494,Dst_star,OBrien-McPherron,9.437177498200105,7.0632925100262245,0.941651685023295,0.8140415174579703,110,-75.4267089919596,414901,414902;414903;414904;414905;414906;414907;414908;414909;414910;414911;414912;414913;414914;414915;414916;414917;414918;414919;414920;414921;414922;414923;414924;414925;414926;414927;414928;414929;414930;414931;414932;414933;414934;414935;414936;414937;414938;414939;414940;414941;414942;414943;414944;414945;414946;414947;414948;414949;414950;414951;414952;414953;414954;414955;414956;414957;414958;414959;414960;414961;414962;414963;414964;414965;414966;414967;414968;414969;414970;414971;414972;414973;414974;414975;414976;414977;414978;414979;414980;414981;414982;414983;414984;414985;414986;414987;414988;414989;414990;414991;414992;414993;414994;414995;414996;414997;414998;414999;415000;415001;415002;415003;415004;415005;415006;415007;415008;415009;415010;415011,true
val,494,AE,Coupled-SINDy,195.4604565014936,155.42901120265046,0.4962250706876346,0.20257043575104594,110,-75.4267089919596,414901,414902;414903;414904;414905;414906;414907;414908;414909;414910;414911;414912;414913;414914;414915;414916;414917;414918;414919;414920;414921;414922;414923;414924;414925;414926;414927;414928;414929;414930;414931;414932;414933;414934;414935;414936;414937;414938;414939;414940;414941;414942;414943;414944;414945;414946;414947;414948;414949;414950;414951;414952;414953;414954;414955;414956;414957;414958;414959;414960;414961;414962;414963;414964;414965;414966;414967;414968;414969;414970;414971;414972;414973;414974;414975;414976;414977;414978;414979;414980;414981;414982;414983;414984;414985;414986;414987;414988;414989;414990;414991;414992;414993;414994;414995;414996;414997;414998;414999;415000;415001;415002;415003;415004;415005;415006;415007;415008;415009;415010;415011,true
val,495,Dst_star,Coupled-SINDy,13.76559941666295,9.595917551369055,0.8515779908506552,0.5236147161224093,128,-75.3026693760747,415540,415541;415542;415543;415544;415545;415546;415547;415548;415549;415550;415551;415552;415553;415554;415555;415556;415557;415558;415559;415560;415561;415562;415563;415564;415565;415566;415567;415568;415569;415570;415571;415572;415573;415574;415575;415576;415577;415578;415579;415580;415581;415582;415583;415584;415585;415586;415587;415588;415589;415590;415591;415592;415593;415594;415595;415596;415597;415598;415599;415600;415601;415602;415603;415604;415605;415606;415607;415608;415609;415610;415611;415612;415613;415614;415615;415616;415617;415618;415619;415620;415621;415622;415623;415624;415625;415626;415627;415628;415629;415630;415631;415632;415633;415634;415635;415636;415637;415638;415639;415640;415641;415642;415643;415644;415645;415646;415647;415648;415649;415650;415651;415652;415653;415654;415655;415656;415657;415658;415659;415660;415661;415662;415663;415664;415665;415666;415667;415668,true
val,495,Dst_star,Single-SINDy,15.519620910585523,10.910323974898477,0.8774247153030279,0.39447747935918653,128,-75.3026693760747,415540,415541;415542;415543;415544;415545;415546;415547;415548;415549;415550;415551;415552;415553;415554;415555;415556;415557;415558;415559;415560;415561;415562;415563;415564;415565;415566;415567;415568;415569;415570;415571;415572;415573;415574;415575;415576;415577;415578;415579;415580;415581;415582;415583;415584;415585;415586;415587;415588;415589;415590;415591;415592;415593;415594;415595;415596;415597;415598;415599;415600;415601;415602;415603;415604;415605;415606;415607;415608;415609;415610;415611;415612;415613;415614;415615;415616;415617;415618;415619;415620;415621;415622;415623;415624;415625;415626;415627;415628;415629;415630;415631;415632;415633;415634;415635;415636;415637;415638;415639;415640;415641;415642;415643;415644;415645;415646;415647;415648;415649;415650;415651;415652;415653;415654;415655;415656;415657;415658;415659;415660;415661;415662;415663;415664;415665;415666;415667;415668,true
val,495,Dst_star,Burton,31.054351454957786,20.09709384303945,0.8679597793669772,-1.4244487614177372,128,-75.3026693760747,415540,415541;415542;415543;415544;415545;415546;415547;415548;415549;415550;415551;415552;415553;415554;415555;415556;415557;415558;415559;415560;415561;415562;415563;415564;415565;415566;415567;415568;415569;415570;415571;415572;415573;415574;415575;415576;415577;415578;415579;415580;415581;415582;415583;415584;415585;415586;415587;415588;415589;415590;415591;415592;415593;415594;415595;415596;415597;415598;415599;415600;415601;415602;415603;415604;415605;415606;415607;415608;415609;415610;415611;415612;415613;415614;415615;415616;415617;415618;415619;415620;415621;415622;415623;415624;415625;415626;415627;415628;415629;415630;415631;415632;415633;415634;415635;415636;415637;415638;415639;415640;415641;415642;415643;415644;415645;415646;415647;415648;415649;415650;415651;415652;415653;415654;415655;415656;415657;415658;415659;415660;415661;415662;415663;415664;415665;415666;415667;415668,true
val,495,Dst_star,BurtonFull,23.206499768165695,14.640749198094632,0.8359885576911155,-0.35390241913300824,128,-75.3026693760747,415540,415541;415542;415543;415544;415545;415546;415547;415548;415549;415550;415551;415552;415553;415554;415555;415556;415557;415558;415559;415560;415561;415562;415563;415564;415565;415566;415567;415568;415569;415570;415571;415572;415573;415574;415575;415576;415577;415578;415579;415580;415581;415582;415583;415584;415585;415586;415587;415588;415589;415590;415591;415592;415593;415594;415595;415596;415597;415598;415599;415600;415601;415602;415603;415604;415605;415606;415607;415608;415609;415610;415611;415612;415613;415614;415615;415616;415617;415618;415619;415620;415621;415622;415623;415624;415625;415626;415627;415628;415629;415630;415631;415632;415633;415634;415635;415636;415637;415638;415639;415640;415641;415642;415643;415644;415645;415646;415647;415648;415649;415650;415651;415652;415653;415654;415655;415656;415657;415658;415659;415660;415661;415662;415663;415664;415665;415666;415667;415668,true
val,495,Dst_star,OBrien-McPherron,18.219952886045814,13.527990492832492,0.914957345580987,0.16543036019025448,128,-75.3026693760747,415540,415541;415542;415543;415544;415545;415546;415547;415548;415549;415550;415551;415552;415553;415554;415555;415556;415557;415558;415559;415560;415561;415562;415563;415564;415565;415566;415567;415568;415569;415570;415571;415572;415573;415574;415575;415576;415577;415578;415579;415580;415581;415582;415583;415584;415585;415586;415587;415588;415589;415590;415591;415592;415593;415594;415595;415596;415597;415598;415599;415600;415601;415602;415603;415604;415605;415606;415607;415608;415609;415610;415611;415612;415613;415614;415615;415616;415617;415618;415619;415620;415621;415622;415623;415624;415625;415626;415627;415628;415629;415630;415631;415632;415633;415634;415635;415636;415637;415638;415639;415640;415641;415642;415643;415644;415645;415646;415647;415648;415649;415650;415651;415652;415653;415654;415655;415656;415657;415658;415659;415660;415661;415662;415663;415664;415665;415666;415667;415668,true
val,495,AE,Coupled-SINDy,236.04905016230538,186.02597856952087,0.5776725304876696,0.32141609734512944,128,-75.3026693760747,415540,415541;415542;415543;415544;415545;415546;415547;415548;415549;415550;415551;415552;415553;415554;415555;415556;415557;415558;415559;415560;415561;415562;415563;415564;415565;415566;415567;415568;415569;415570;415571;415572;415573;415574;415575;415576;415577;415578;415579;415580;415581;415582;415583;415584;415585;415586;415587;415588;415589;415590;415591;415592;415593;415594;415595;415596;415597;415598;415599;415600;415601;415602;415603;415604;415605;415606;415607;415608;415609;415610;415611;415612;415613;415614;415615;415616;415617;415618;415619;415620;415621;415622;415623;415624;415625;415626;415627;415628;415629;415630;415631;415632;415633;415634;415635;415636;415637;415638;415639;415640;415641;415642;415643;415644;415645;415646;415647;415648;415649;415650;415651;415652;415653;415654;415655;415656;415657;415658;415659;415660;415661;415662;415663;415664;415665;415666;415667;415668,true
