storm_id,catalog_row,datetime,time_hr,dst_observed_nt,dst_star_observed_nt,dst_cleaned_nt,dst_star_cleaned_nt,dst_original_flag,dst_star_original_target_flag,dst_star_sindy_nt,dst_star_burton_simplified_nt,dst_star_burton_published_nt,dst_star_obrien_nt,dst_sindy_nt,dst_burton_simplified_nt,dst_burton_published_nt,dst_obrien_nt,v_kms,bz_nt,pdyn_npa
684,537887,2024-05-11T22:00:00.0,51.0,-157.0,-168.034606885456,-157.0,-168.034606885456,true,true,-342.7206040820507,-247.30189685574828,-235.97878729576502,-168.30618923654768,-331.68599719659477,-236.2672899702923,-224.94418041030903,-157.2715823510917,887.0,8.0,9.211648805800001
684,537888,2024-05-11T23:00:00.0,52.0,-167.0,-166.7975621562292,-167.0,-166.7975621562292,true,true,-329.40715863765905,-215.1847673939628,-205.33219154306826,-159.51669583658753,-329.6095964814299,-215.3872052377336,-205.53462938683907,-159.71913368035834,882.0,3.5,2.21196466008
684,537889,2024-05-12T00:00:00.0,53.0,-150.0,-151.45519419251627,-150.0,-151.45519419251627,true,true,-313.47142356519646,-187.23869370643516,-178.6656731608516,-151.1862182017539,-312.0162293726802,-185.78349951391888,-177.21047896833534,-149.73102400923761,938.0,0.5,2.9432541488000004
684,537890,2024-05-12T01:00:00.0,54.0,-142.0,-145.9348426720424,-142.0,-145.9348426720424,true,true,-298.79065816285936,-162.92198023806696,-155.46233898411765,-143.29078504461904,-294.85581549081695,-158.98713756602456,-151.52749631207524,-139.35594237257664,1006.0,-4.9,4.231828534000001
684,537891,2024-05-12T02:00:00.0,55.0,-135.0,-143.12098042347912,-135.0,-143.12098042347912,true,true,-288.59841291735285,-168.38204150585048,-159.19118483033614,-141.133737252463,-280.4774324938737,-160.26106108237136,-151.07020440685702,-133.01275682898387,960.0,-3.2,6.93660672
684,537892,2024-05-12T03:00:00.0,56.0,-138.0,-149.55361931045763,-138.0,-149.55361931045763,true,true,-279.38633065346454,-163.1030439076881,-152.40580498224054,-135.72761611380574,-267.8327113430069,-151.54942459723046,-140.8521856717829,-124.1739968033481,935.0,2.2,9.650709651
684,537893,2024-05-12T04:00:00.0,57.0,-138.0,-153.08344245056122,-138.0,-153.08344245056122,true,true,-269.5870642380381,-141.92083041318315,-132.61284329623527,-128.63948114125319,-254.5036217874769,-126.83738796262192,-117.52940084567403,-113.55603869069195,926.0,1.9,12.9079292184
684,537894,2024-05-12T05:00:00.0,58.0,-143.0,-147.0271768345186,-143.0,-147.0271768345186,true,true,-262.341627661625,-123.48955373614638,-115.39039611490601,-121.92151149560799,-258.3144508271064,-119.46237690162779,-111.36321928038743,-117.8943346610894,909.0,3.0,4.28431656186
684,537895,2024-05-12T06:00:00.0,59.0,-132.0,-133.33893650006678,-132.0,-133.33893650006678,true,true,-250.60002541318661,-107.45194935482867,-100.40463038569743,-115.55437594661352,-249.26108891311983,-106.11301285476188,-99.06569388563064,-114.21543944654672,886.0,2.8,2.8885654811200006
684,537896,2024-05-12T07:00:00.0,60.0,-132.0,-131.07354666513203,-132.0,-131.07354666513203,true,true,-238.84789804146988,-93.49715073731845,-87.36506799794452,-109.5197528033624,-239.77435137633785,-94.42360407218642,-88.2915213328125,-110.44620613823037,876.0,1.8,1.9252696464
684,537897,2024-05-12T08:00:00.0,61.0,-131.0,-129.1317365629058,-131.0,-129.1317365629058,true,true,-226.92065676399108,-81.35466362857579,-76.01895527093873,-103.8002771928874,-228.7889202010853,-83.22292706567,-77.88721870803295,-105.66854062998162,853.0,1.0,1.58209845742
684,537898,2024-05-12T09:00:00.0,62.0,-114.0,-113.46702453920176,-114.0,-113.46702453920176,true,true,-215.5481526940928,-70.78912289759192,-66.14636367731032,-98.37949109203497,-216.08112815489105,-71.32209835839016,-66.67933913810856,-98.91246655283321,855.0,1.0,2.0786111055
684,537899,2024-05-12T10:00:00.0,63.0,-104.0,-107.51469885666373,-104.0,-107.51469885666373,true,true,-204.90098394296754,-61.59573031348908,-57.555926836101186,-93.2417959688356,-201.38628508630381,-58.08103145682536,-54.041227979437465,-89.72709711217189,878.0,5.3,3.99707979304
684,537900,2024-05-12T11:00:00.0,64.0,-108.0,-106.72086110410235,-108.0,-106.72086110410235,true,true,-195.80857661245665,-53.59628481823076,-50.08113114310103,-88.3724078970953,-197.0877155083543,-54.8754237141284,-51.36027003899868,-89.65154679299295,875.0,4.4,1.792818125
684,537901,2024-05-12T12:00:00.0,65.0,-108.0,-105.2062378336179,-108.0,-105.2062378336179,true,true,-186.38574998846227,-46.63572834833066,-43.577088137503495,-83.75731501504795,-189.17951215484436,-49.42949051471276,-46.3708503038856,-86.55107718143006,874.0,3.5,1.2776589976000001
684,537902,2024-05-12T13:00:00.0,66.0,-104.0,-100.65150886001058,-104.0,-100.65150886001058,true,true,-176.95646239878127,-40.57914025114486,-37.91772604172382,-79.38323720565457,-180.3049535387707,-43.92763139113427,-41.26621718171323,-82.73172834564399,859.0,2.9,1.11076178454
684,537903,2024-05-12T14:00:00.0,67.0,-102.0,-99.09356637594809,-102.0,-99.09356637594809,true,true,-168.08645310906115,-35.30912203671046,-32.99334603630514,-75.2375878825276,-170.99288673311307,-38.21555566076238,-35.899779660357055,-78.14402150657952,862.0,0.1,1.2428153944
684,537904,2024-05-12T15:00:00.0,68.0,-96.0,-92.58915663414321,-96.0,-92.58915663414321,true,true,-160.034788558492,-30.72352177220261,-28.708495901720056,-71.30843777151792,-163.4456319243488,-34.134365138059394,-32.11933926757684,-74.71928113737471,852.0,1.0,1.09273232736
684,537905,2024-05-12T16:00:00.0,69.0,-97.0,-94.27195752182286,-97.0,-94.27195752182286,true,true,-152.41905493027465,-26.733454009578892,-24.98011981058758,-67.58448058374431,-155.1470974084518,-29.461496487756044,-27.708162288764733,-70.31252306192147,840.0,2.0,1.2982052160000002
