1,V,Bs,n,Pdyn,Dst_star,V^2,Bs^2,n^2,V*Bs,n*V,n*Bs,Pdyn*Bs,n*V*Bs,n*V^2,sin(θ_c/2),sin²(θ_c/2),sin⁴(θ_c/2),sin^(8/3)(θ_c/2),V*sin²(θ_c/2),Newell_d_Φ
-0.1707179442928654,0.0006711547526822715,-0.7521982108146068,0.020083660955525225,0.0006335885031765096,-0.047932121821009525,-5.460663466846658e-7,0.0,0.0,0.0,0.00048254103583322686,0.0029803664113002126,-0.019069035270568694,-1.2979498349293458e-5,-1.5473487313905252e-6,9.571848660292353,-51.441573890182006,-12.92266010304688,55.9367330044083,0.0,1.7553028542514203e-6
-0.1707179442928654,0.0006711547526822715,-0.5587741899230135,0.020083660955525225,0.0006335885031765096,-0.0469083911694837,-5.460663466846658e-7,0.0,0.0,0.0,0.0003805805910144231,0.0502053018033669,0.04585065280608812,-0.00020191515713122174,-1.1764812401820649e-6,6.536682833641278,-39.062541003165755,-10.685150868082507,43.7522982121874,0.0,1.7553028542514203e-6
-0.1707179442928654,0.0006711547526822715,-0.5548222272214113,0.020083660955525225,0.0006335885031765096,-0.04645129559060639,-5.460663466846658e-7,0.0,0.0,0.0,0.0003519518303540213,0.05174261191026258,0.04731088575601505,-0.00020874368836783195,-1.0920765276527812e-6,6.056471869920744,-36.114698469524164,-9.500985490241675,40.12944348233433,0.0,1.7553028542514203e-6
-0.1707179442928654,0.0006711547526822715,-0.7539434728609913,0.020083660955525225,0.0006335885031765096,-0.048879440336386165,-5.460663466846658e-7,0.0,0.0,0.0,0.00047361179168966215,0.0029803664113002126,-0.019069035270568694,-1.2979498349293458e-5,-1.523595010290771e-6,8.3531774343209,-45.06878727130108,-11.080449440514556,48.899974262652314,0.0,1.7553028542514203e-6
-0.1707179442928654,0.0006711547526822715,-0.7782901129981952,0.020083660955525225,0.0006335885031765096,-0.048672482589450436,-5.460663466846658e-7,0.0,0.0,0.0,0.0004903817024798059,0.0029803664113002126,-0.019069035270568694,-1.2979498349293458e-5,-1.5603477673098492e-6,9.0402717257612,-50.36074376498301,-13.046874718912614,55.605043939486414,0.0,1.7553028542514203e-6
-0.1707179442928654,0.0006711547526822715,-0.7608441011429568,0.020083660955525225,0.0006335885031765096,-0.04817642426346629,-5.460663466846658e-7,0.0,0.0,0.0,0.0004600713804995426,0.0029803664113002126,-0.019069035270568694,-1.2979498349293458e-5,-1.475589391437967e-6,9.274240190613142,-52.12223889879289,-13.970715206444789,57.934739757696654,0.0,1.7553028542514203e-6
-0.1707179442928654,0.0006711547526822715,-0.558433566124342,0.020083660955525225,0.0006335885031765096,-0.04661514224582883,-5.460663466846658e-7,0.0,0.0,0.0,0.00039500424596406695,0.04423118684807496,0.043387732374501706,-0.00018688951562981842,-1.1998448482627744e-6,6.292599285005853,-38.10653862399153,-10.575231746638599,42.94702016804168,0.0,1.7553028542514203e-6
-0.1707179442928654,0.0006711547526822715,-0.777603785319751,0.020083660955525225,0.0006335885031765096,-0.0486144477493616,-5.460663466846658e-7,0.0,0.0,0.0,0.00048423752963154575,0.0029803664113002126,-0.019069035270568694,-1.2979498349293458e-5,-1.548780346519978e-6,9.012159454760893,-49.64575133809849,-12.59030990849572,54.472289005440906,0.0,1.7553028542514203e-6
1.3769387738160006,-0.0053786172007114115,-0.5636582674297465,-0.1308033933211662,0.0006335885031765096,-0.04771134483933342,4.4074673349842235e-6,0.0,0.0,0.0,0.0009432781123235276,0.04978295423466335,0.04207073850758436,-0.00019911335287275736,-1.6544991443087266e-6,8.03987190505696,-45.74712886431326,-12.696400911083492,51.11991605487323,0.0,1.7553028542514203e-6
1.192133916475933,-0.004547567284252537,-0.5631194672086044,-0.1316192775752321,0.0006335885031765096,-0.0473118410819746,3.663746743113236e-6,0.0,0.0,0.0,0.0009748197557182188,0.04824477431471543,0.045850742433362665,-0.00019780561705396886,-1.7228232635717378e-6,8.06362842351225,-45.64800299904984,-12.495911155887468,50.785121047482235,0.0,1.7553028542514203e-6
