issue_time_utc,latest_solar_wind_utc,latest_dst_time_utc,latest_dst_nt,anchor_dst_star_nt,target_time_utc,horizon_hours,driver_assumption,V_kms,Bz_nt,By_nt,n_cm3,Pdyn_npa,pred_dst_star_nt,pred_dst_nt,pred_dst_ci05_nt,pred_dst_ci95_nt,observation_dst_nt,residual_dst_nt,observed_in_90ci,persistence_dst_nt,burton_dst_nt,burton_full_dst_nt,obrien_dst_nt,model_step_hours,persistence_residual_dst_nt,burton_residual_dst_nt,burton_full_residual_dst_nt,obrien_residual_dst_nt,model_version,wall_clock_lead_hours,v1_pred_dst_nt,v1_pred_dst_ci05_nt,v1_pred_dst_ci95_nt,v2_pred_dst_nt,v2_pred_dst_ci05_nt,v2_pred_dst_ci95_nt,v2_correction_dst_nt,v2_interval_scale,v2_calibration_label,v2_selected_component,v2_selected_component_pred_nt,Bsouth_nt,VBsouth_mvm,Bperp_nt,clock_angle_sin2,sqrt_Pdyn_npa,dst_delta_1h_nt,dst_delta_3h_nt,Bz_delta_1h_nt,VBsouth_delta_1h_mvm,VBsouth_mean_3h_mvm,Bsouth_mean_3h_nt,baseline_spread_nt,v1_minus_persistence_nt,obrien_minus_v1_nt,burton_minus_v1_nt,v2_residual_dst_nt,v2_observed_in_90ci,driver_data_gap,n_speed_finite_trailing_hour,n_bz_finite_trailing_hour,interval_source,n_density_finite_trailing_hour,n_by_finite_trailing_hour,n_steps_driver_fallback,improved_model_version,improved_pred_dst_nt,improved_pred_dst_ci05_nt,improved_pred_dst_ci95_nt,served_pred_dst_nt,served_pred_dst_ci05_nt,served_pred_dst_ci95_nt,sub_hourly_model_version,sub_hourly_pred_dst_nt,sub_hourly_pred_dst_ci05_nt,sub_hourly_pred_dst_ci95_nt,served_residual_dst_nt,served_observed_in_90ci,dst_memory_fallback,feature_driver_basis,target_step_V_kms,target_step_Bz_nt,target_step_By_nt,target_step_n_cm3,target_step_Pdyn_npa
2026-07-15T21:39:06.383,2026-07-15T21:21:00.0,2026-07-15T21:00:00.0,-27.0,-24.587503506044698,2026-07-16T03:00:00.0,5.348226944444445,ballistically_propagated_l1_then_regime_aware_relaxation_then_extreme_inertia_guard,440.75500000000005,-1.2456666666666671,4.111833333333333,4.306,1.3991381976475878,-20.828143316016877,-22.952708554187712,-52.19000265015559,6.284585541780167,-17.0,5.952708554187712,true,-27.0,-16.871150486860785,-13.113733079762559,-19.833524770181736,6,10.0,-0.12884951313921533,-3.886266920237441,2.833524770181736,v2,5.348226944444445,-23.270537800655106,-23.49862897744933,-22.533953115925385,-22.952708554187712,-52.19000265015559,6.284585541780167,0.3178292464673929,13.68095476223919,operational_v2_ridge100.0_n116,v2,-22.952708554187712,1.2456666666666671,0.549033811666667,4.296377404925638,0.6449670907912508,1.1828517225956885,-10.0,-23.0,-1.2787701149425292,0.549033811666667,0.18712286962962965,0.4249444444444444,13.886266920237441,3.729462199344894,3.43701303047337,6.399387313794321,5.952708554187712,true,false,60,60,aci,60,60,4,v2,-22.952708554187712,-52.19000265015559,6.284585541780167,-22.721138829257274,-50.774286409395486,5.332008750880938,v2+L1A+Bregime+Pinertia,-22.721138829257274,-50.774286409395486,5.332008750880938,5.721138829257274,true,false,anchor_aligned_ballistically_propagated_l1_hour,429.2433333333333,-0.33449999999999996,4.7204999999999995,4.508500000000001,1.3894127631793183
2026-07-15T22:39:11.573,2026-07-15T22:32:00.0,2026-07-15T22:00:00.0,-26.0,-23.430898831891938,2026-07-15T23:00:00.0,0.3467852777777778,ballistically_propagated_l1_then_regime_aware_relaxation_then_extreme_inertia_guard,431.4333333333333,-0.6183333333333333,4.522833333333333,4.331666666666666,1.3485731680743747,-22.771534106556995,-24.84041697805343,-39.924841328663135,-9.755992627443725,-17.0,7.84041697805343,true,-26.0,-23.725502451779942,-22.852653851279943,-24.584329399357244,1,9.0,6.725502451779942,5.852653851279943,7.5843293993572445,v2,0.3467852777777778,-25.23626300021668,-25.46716350651608,-24.495891981700197,-24.84041697805343,-39.924841328663135,-9.755992627443725,0.395846022163252,13.68095476223919,operational_v2_ridge100.0_n116,v2,-24.84041697805343,0.6183333333333333,0.2667696111111111,4.564904979539247,0.5677268569778362,1.1612808308391105,-5.0,-16.0,0.642,-0.2884933450000001,0.28054419487329435,0.6409444444444444,3.1473461487200574,0.763736999783319,0.6519336008594365,1.510760548436739,7.84041697805343,true,false,60,60,aci,60,60,0,v2,-24.84041697805343,-39.924841328663135,-9.755992627443725,-24.84041697805343,-39.924841328663135,-9.755992627443725,v2+L1A+Bregime+Pinertia,-24.84041697805343,-39.924841328663135,-9.755992627443725,7.84041697805343,true,false,anchor_aligned_ballistically_propagated_l1_hour,425.1783333333333,-0.3801666666666667,4.800666666666667,4.5711666666666675,1.3821697982592231
2026-07-15T22:39:11.573,2026-07-15T22:32:00.0,2026-07-15T22:00:00.0,-26.0,-23.430898831891938,2026-07-16T00:00:00.0,1.3467852777777778,ballistically_propagated_l1_then_regime_aware_relaxation_then_extreme_inertia_guard,431.4333333333333,-0.6183333333333333,4.522833333333333,4.331666666666666,1.3485731680743747,-22.506531928956655,-24.74831468596059,-41.796919042076965,-7.699710329844212,-16.0,8.74831468596059,true,-26.0,-23.547389444106855,-20.37777127475884,-23.37361934472147,2,10.0,7.547389444106855,4.377771274758839,7.373619344721469,v2,1.3467852777777778,-25.14416070812384,-25.374688265253447,-24.42903616366131,-24.74831468596059,-41.796919042076965,-7.699710329844212,0.395846022163252,13.68095476223919,operational_v2_ridge100.0_n116,v2,-24.74831468596059,0.6183333333333333,0.2667696111111111,4.564904979539247,0.5677268569778362,1.1612808308391105,-5.0,-16.0,0.642,-0.2884933450000001,0.28054419487329435,0.6409444444444444,5.622228725241161,0.8558392918761584,1.7705413634023728,1.5967712640169864,8.74831468596059,true,false,60,60,aci,60,60,0,v2,-24.74831468596059,-41.796919042076965,-7.699710329844212,-24.74831468596059,-44.053264158867805,-5.443365213053372,v2+L1A+Bregime+Pinertia,-24.74831468596059,-44.053264158867805,-5.443365213053372,8.74831468596059,true,false,anchor_aligned_ballistically_propagated_l1_hour,422.4230707797043,-1.0565704352867384,4.814719898198925,4.445271519475806,1.3267394537981783
2026-07-15T22:39:11.573,2026-07-15T22:32:00.0,2026-07-15T22:00:00.0,-26.0,-23.430898831891938,2026-07-16T01:00:00.0,2.346785277777778,ballistically_propagated_l1_then_regime_aware_relaxation_then_extreme_inertia_guard,431.4333333333333,-0.6183333333333333,4.522833333333333,4.331666666666666,1.3485731680743747,-22.11634859376687,-24.306050941678738,-47.309171541202076,-1.3029303421554026,-17.0,7.306050941678738,true,-26.0,-22.605398663905746,-18.021776255849677,-22.076356838259585,3,9.0,5.605398663905746,1.0217762558496766,5.076356838259585,v2,2.346785277777778,-24.70189696384199,-24.931394157533454,-23.978071436449106,-24.306050941678738,-47.309171541202076,-1.3029303421554026,0.395846022163252,13.68095476223919,operational_v2_ridge100.0_n116,v2,-24.306050941678738,0.6183333333333333,0.2667696111111111,4.564904979539247,0.5677268569778362,1.1612808308391105,-5.0,-16.0,0.642,-0.2884933450000001,0.28054419487329435,0.6409444444444444,7.978223744150323,1.298103036158011,2.625540125582404,2.0964982999362434,7.306050941678738,true,false,60,60,aci,60,60,1,v2,-24.306050941678738,-47.309171541202076,-1.3029303421554026,-24.352565056419593,-47.35568565594293,-1.3494444568962578,v2+L1A+Bregime+Pinertia,-24.352565056419593,-47.35568565594293,-1.3494444568962578,7.352565056419593,true,false,anchor_aligned_ballistically_propagated_l1_hour,422.95500000000004,-0.7993333333333335,4.833,4.489499999999999,1.3433166418570648
2026-07-15T22:39:11.573,2026-07-15T22:32:00.0,2026-07-15T22:00:00.0,-26.0,-23.430898831891938,2026-07-16T04:00:00.0,5.346785277777777,ballistically_propagated_l1_then_regime_aware_relaxation_then_extreme_inertia_guard,431.4333333333333,-0.6183333333333333,4.522833333333333,4.331666666666666,1.3485731680743747,-21.054401914768704,-23.244104262680576,-52.481398358648455,5.993189833287303,-15.0,8.244104262680576,true,-26.0,-20.571015677349905,-12.754903504554365,-18.771754074532424,6,11.0,5.571015677349905,-2.245096495445635,3.7717540745324243,v2,5.346785277777777,-23.639950284843827,-23.8680553621967,-22.915561737776002,-23.244104262680576,-52.481398358648455,5.993189833287303,0.395846022163252,13.68095476223919,operational_v2_ridge100.0_n116,v2,-23.244104262680576,0.6183333333333333,0.2667696111111111,4.564904979539247,0.5677268569778362,1.1612808308391105,-5.0,-16.0,0.642,-0.2884933450000001,0.28054419487329435,0.6409444444444444,13.245096495445635,2.3600497151561726,4.868196210311403,3.0689346074939223,8.244104262680576,true,false,60,60,aci,60,60,4,v2,-23.244104262680576,-52.481398358648455,5.993189833287303,-22.673336482279325,-50.72648406241754,5.379811097858887,v2+L1A+Bregime+Pinertia,-22.673336482279325,-50.72648406241754,5.379811097858887,7.673336482279325,true,false,anchor_aligned_ballistically_propagated_l1_hour,422.95500000000004,-0.7993333333333335,4.833,4.489499999999999,1.3433166418570648
2026-07-15T23:39:19.358,2026-07-15T23:31:00.0,2026-07-15T23:00:00.0,-21.0,-18.538806620638233,2026-07-16T00:00:00.0,0.3446227777777778,ballistically_propagated_l1_then_regime_aware_relaxation_then_extreme_inertia_guard,424.975,-0.3511666666666667,4.840166666666667,4.5793333333333335,1.383315091270621,-18.62179142242484,-20.951519138876076,-36.03594348948578,-5.867094788266371,-16.0,4.951519138876076,true,-21.0,-21.855263829070363,-19.155263829070364,-20.327908254417892,1,5.0,5.855263829070363,3.155263829070364,4.327908254417892,v2,0.3446227777777778,-21.281168537316482,-21.512850652788334,-20.586454647943782,-20.951519138876076,-36.03594348948578,-5.867094788266371,0.32964939844040647,13.68095476223919,operational_v2_ridge100.0_n116,v2,-20.951519138876076,0.3511666666666667,0.1492370541666667,4.852888973476406,0.536181197281246,1.1761441626223466,-2.0,-4.0,0.2614999999999999,-0.11503671249999994,0.3238097594444445,0.7434444444444446,2.6999999999999993,-0.28116853731648206,0.9532602828985901,-0.5740952917538813,4.951519138876076,true,false,60,60,aci,60,60,0,v2,-20.951519138876076,-36.03594348948578,-5.867094788266371,-20.951519138876076,-33.5094954981825,-8.393542779569653,v2+L1A+Bregime+Pinertia,-20.951519138876076,-33.5094954981825,-8.393542779569653,4.951519138876076,true,false,anchor_aligned_ballistically_propagated_l1_hour,427.90166666666664,-1.3263333333333334,4.5415,4.309666666666667,1.319847424500324
2026-07-15T23:39:19.358,2026-07-15T23:31:00.0,2026-07-15T23:00:00.0,-21.0,-18.538806620638233,2026-07-16T01:00:00.0,1.3446227777777777,ballistically_propagated_l1_then_regime_aware_relaxation_then_extreme_inertia_guard,424.975,-0.3511666666666667,4.840166666666667,4.5793333333333335,1.383315091270621,-19.119843649223736,-21.64984080093042,-38.667448813804185,-4.632232788056655,-17.0,4.64984080093042,true,-21.0,-24.89642388967022,-19.84707324031957,-21.39403477265536,2,4.0,7.896423889670221,2.8470732403195704,4.39403477265536,v2,1.3446227777777777,-21.979490199370826,-22.22816535699183,-21.357410587642235,-21.64984080093042,-38.667448813804185,-4.632232788056655,0.32964939844040647,13.68095476223919,operational_v2_ridge100.0_n116,v2,-21.64984080093042,0.3511666666666667,0.1492370541666667,4.852888973476406,0.536181197281246,1.1761441626223466,-2.0,-4.0,0.2614999999999999,-0.11503671249999994,0.3238097594444445,0.7434444444444446,5.04935064935065,-0.9794901993708258,0.5854554267154661,-2.9169336902993948,4.64984080093042,true,false,60,60,aci,60,60,0,v2,-21.64984080093042,-38.667448813804185,-4.632232788056655,-21.64984080093042,-40.88516811809868,-2.414513483762157,v2+L1A+Bregime+Pinertia,-21.64984080093042,-40.88516811809868,-2.414513483762157,4.64984080093042,true,false,anchor_aligned_ballistically_propagated_l1_hour,434.279354,-2.274463164285714,3.517461176666666,3.9855000980952378,1.2572257945444711
2026-07-15T23:39:19.358,2026-07-15T23:31:00.0,2026-07-15T23:00:00.0,-21.0,-18.538806620638233,2026-07-16T02:00:00.0,2.344622777777778,ballistically_propagated_l1_then_regime_aware_relaxation_then_extreme_inertia_guard,424.975,-0.3511666666666667,4.840166666666667,4.5793333333333335,1.383315091270621,-19.460007788624523,-21.9116222239648,-44.47150659423066,0.6482621463010574,-18.0,3.9116222239648017,true,-21.0,-26.553847413300815,-19.460256588541156,-21.57420163494281,3,3.0,8.553847413300815,1.4602565885411565,3.57420163494281,v2,2.344622777777778,-22.241271622405208,-22.484608256667762,-21.60248189370224,-21.9116222239648,-44.47150659423066,0.6482621463010574,0.32964939844040647,13.68095476223919,operational_v2_ridge100.0_n116,v2,-21.9116222239648,0.3511666666666667,0.1492370541666667,4.852888973476406,0.536181197281246,1.1761441626223466,-2.0,-4.0,0.2614999999999999,-0.11503671249999994,0.3238097594444445,0.7434444444444446,7.093590824759659,-1.2412716224052076,0.6670699874623978,-4.3125757908956075,3.9116222239648017,true,false,60,60,aci,60,60,1,v2,-21.9116222239648,-44.47150659423066,0.6482621463010574,-21.731219785941814,-44.235520405096665,0.7730808332130401,v2+L1A+Bregime+Pinertia,-21.731219785941814,-44.235520405096665,0.7730808332130401,3.731219785941814,true,false,anchor_aligned_ballistically_propagated_l1_hour,433.85,-1.9625000000000001,3.795666666666667,4.070666666666667,1.2815537829444208
2026-07-15T23:39:19.358,2026-07-15T23:31:00.0,2026-07-15T23:00:00.0,-21.0,-18.538806620638233,2026-07-16T05:00:00.0,5.3446227777777775,ballistically_propagated_l1_then_regime_aware_relaxation_then_extreme_inertia_guard,424.975,-0.3511666666666667,4.840166666666667,4.5793333333333335,1.383315091270621,-20.38581918437578,-22.837433619716062,-51.95898642765643,6.284119188224306,-17.0,5.837433619716062,true,-21.0,-30.52199386630427,-18.755160018089157,-22.243628967414978,6,4.0,13.521993866304271,1.755160018089157,5.243628967414978,v2,5.3446227777777775,-23.167083018156468,-23.410660153144576,-22.529251098117847,-22.837433619716062,-51.95898642765643,6.284119188224306,0.32964939844040647,13.68095476223919,operational_v2_ridge100.0_n116,v2,-22.837433619716062,0.3511666666666667,0.1492370541666667,4.852888973476406,0.536181197281246,1.1761441626223466,-2.0,-4.0,0.2614999999999999,-0.11503671249999994,0.3238097594444445,0.7434444444444446,11.766833848215114,-2.167083018156468,0.9234540507414906,-7.354910848147803,5.837433619716062,true,false,60,60,aci,60,60,4,v2,-22.837433619716062,-51.95898642765643,6.284119188224306,-20.45823313571306,-47.10587549714896,6.189409225722841,v2+L1A+Bregime+Pinertia,-20.45823313571306,-47.10587549714896,6.189409225722841,3.4582331357130585,true,false,anchor_aligned_ballistically_propagated_l1_hour,433.85,-1.9625000000000001,3.795666666666667,4.070666666666667,1.2815537829444208
2026-07-16T00:39:24.98,2026-07-16T00:32:00.0,2026-07-16T00:00:00.0,-24.0,-21.313871025458567,2026-07-16T01:00:00.0,0.3430611111111111,ballistically_propagated_l1_then_regime_aware_relaxation_then_extreme_inertia_guard,428.18,-1.3413333333333335,4.523166666666667,4.2765,1.3113943990612267,-21.552823283592407,-23.689267548323734,-36.24724390763016,-11.131291189017311,-17.0,6.689267548323734,true,-24.0,-25.525899570536787,-22.825899570536784,-23.748803254112737,1,7.0,8.525899570536787,5.825899570536784,6.748803254112737,v2,0.3430611111111111,-23.912472651782124,-24.181625782175715,-23.24437702185009,-23.689267548323734,-36.24724390763016,-11.131291189017311,0.22320510345838945,13.68095476223919,operational_v2_ridge100.0_n116,v2,-23.689267548323734,1.3413333333333335,0.5743321066666668,4.717860935376916,0.6421548188581965,1.14516129827253,-7.0,-3.0,-0.9693333333333335,0.41621040666666675,0.32792847333333336,0.7656666666666667,2.700000000000003,0.08752734821787556,0.1636693976693877,-1.6134269187546622,6.689267548323734,true,false,59,60,aci,59,60,0,v2,-23.689267548323734,-36.24724390763016,-11.131291189017311,-23.689267548323734,-36.24724390763016,-11.131291189017311,v2+L1A+Bregime+Pinertia,-23.689267548323734,-36.24724390763016,-11.131291189017311,6.689267548323734,true,false,anchor_aligned_ballistically_propagated_l1_hour,441.6166666666667,-1.9375000000000002,3.4899999999999998,4.3421666666666665,1.4164116567748164
2026-07-16T00:39:24.98,2026-07-16T00:32:00.0,2026-07-16T00:00:00.0,-24.0,-21.313871025458567,2026-07-16T02:00:00.0,1.343061111111111,ballistically_propagated_l1_then_regime_aware_relaxation_then_extreme_inertia_guard,428.18,-1.3413333333333335,4.523166666666667,4.2765,1.3113943990612267,-22.427784021157912,-23.435060140214,-39.88980708448993,-6.980313195938066,-18.0,5.435060140213999,true,-24.0,-28.96002119248128,-23.910670543130628,-24.831771122486188,2,6.0,10.960021192481278,5.910670543130628,6.831771122486188,v2,1.343061111111111,-23.65826524367239,-24.082413844537975,-23.010588797836668,-23.435060140214,-39.88980708448993,-6.980313195938066,0.22320510345838945,13.68095476223919,operational_v2_ridge100.0_n116,v2,-23.435060140214,1.3413333333333335,0.5743321066666668,4.717860935376916,0.6421548188581965,1.14516129827253,-7.0,-3.0,-0.9693333333333335,0.41621040666666675,0.32792847333333336,0.7656666666666667,5.301755948808889,0.34173475632761097,-1.173505878813799,-5.301755948808889,5.435060140213999,true,false,59,60,aci,59,60,0,v2,-23.435060140214,-39.88980708448993,-6.980313195938066,-23.435060140214,-42.67038745738226,-4.199732823045736,v2+L1A+Bregime+Pinertia,-23.435060140214,-42.67038745738226,-4.199732823045736,5.435060140213999,true,false,anchor_aligned_ballistically_propagated_l1_hour,457.78669893089966,-3.0630040987654317,2.1084173837037037,5.166003190265102,1.810810910450148
