feature,feature_mean,feature_scale,coefficient,interval_scale,label,selected_component,guard_margin_nt,selector_components,selector_rmse_nt,selector_mae_nt,selector_half_width_nt,selector_weights,supported_model_steps
clock_angle_sin2,0.5112021972539296,0.30780348021724024,0.042234612531875104,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
sqrt_Pdyn_npa,1.2630840278056772,0.3890825057342625,1.2382028626222101,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
dst_delta_1h_nt,0.0003778544438968293,3.8316799991763553,0.43583864003603023,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
dst_delta_3h_nt,0.0014621324133399047,7.820340825038808,-0.9793504621245115,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
Bz_delta_1h_nt,8.707080663709496e-5,2.0676963500847862,0.22693018500720527,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
VBsouth_delta_1h_mvm,1.4645966814522705e-5,0.6034153574339419,0.04823553675675389,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
VBsouth_mean_3h_mvm,0.42439188981983467,0.6426028583437314,-0.15427510347937673,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
Bsouth_mean_3h_nt,0.9996654071518536,1.4778315653579108,0.5719365484377303,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
baseline_spread_nt,8.053919606187593,9.297982585722911,-0.862565285582028,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
v1_minus_persistence_nt,-0.876784333276914,3.0839125378132963,0.5787300623035635,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
obrien_minus_v1_nt,0.18935802140958716,5.049356984362939,0.5189032194858506,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
burton_minus_v1_nt,-2.0978901595507584,9.87928421606809,-1.6067716167613586,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
