feature,feature_mean,feature_scale,coefficient,interval_scale,label,selected_component,guard_margin_nt,selector_components,selector_rmse_nt,selector_mae_nt,selector_half_width_nt,selector_weights,supported_model_steps
clock_angle_sin2,0.5131797086621454,0.30846250009811693,-0.018580355725565472,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
sqrt_Pdyn_npa,1.258037182476073,0.4033731601228497,1.1648848861048977,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
dst_delta_1h_nt,-0.0009944594402614007,4.1480396263681,0.36408553246604186,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
dst_delta_3h_nt,0.0009767012359710185,8.45149441366251,-0.7794927946545299,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
Bz_delta_1h_nt,7.991191930672042e-5,2.192343263042531,0.261177911150967,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
VBsouth_delta_1h_mvm,4.1268290950419104e-5,0.6620970921971355,-0.032014793933778506,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
VBsouth_mean_3h_mvm,0.4618535107969882,0.7466890920566688,-0.2220514491003517,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
Bsouth_mean_3h_nt,1.081529987687645,1.626277809288733,0.6820322686382915,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
baseline_spread_nt,8.669599581893316,10.930205543809022,-0.8540516459910159,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
v1_minus_persistence_nt,-1.1733431187338794,3.421189410183953,0.637294022855303,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
